Images space usage:

REPOSITORY                               TAG                                  IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
rtbench-instance-vllm-53                 v1                                   4294ea947c24   10 days ago     37.49GB   16.87GB       20.62GB       1
rtbench-instance-vllm-50                 v1                                   cdb5484d2398   10 days ago     38.39GB   16.88GB       21.51GB       1
rtbench-instance-vllm-49                 v1                                   a3b9d13ff352   10 days ago     39.12GB   16.88GB       22.24GB       1
rtbench-instance-vllm-44                 v1                                   8d8405ba7540   10 days ago     40.05GB   16.89GB       23.17GB       1
rtbench-instance-vllm-39                 v1                                   3b9ea7a0f73b   10 days ago     35.34GB   16.85GB       18.49GB       1
rtbench-instance-vllm-37                 v1                                   0966d0c8c4e1   10 days ago     35.86GB   16.86GB       19GB          0
rtbench-instance-vllm-36                 v1                                   d0d770c6240e   10 days ago     36.67GB   16.86GB       19.81GB       1
rtbench-instance-vllm-34                 v1                                   807f6a4716d0   10 days ago     41.08GB   16.86GB       24.21GB       1
rtbench-instance-vllm-33                 v1                                   412ca5ae9db5   10 days ago     36.76GB   16.86GB       19.9GB        1
rtbench-instance-vllm-30                 v1                                   7e3921c46a0a   10 days ago     37.45GB   16.87GB       20.59GB       1
rtbench-instance-vllm-29                 v1                                   e90464811def   10 days ago     37.83GB   16.87GB       20.95GB       1
rtbench-instance-vllm-28                 v1                                   13952dc7913b   10 days ago     37.58GB   16.87GB       20.71GB       1
rtbench-instance-vllm-27                 v1                                   73ddf6abb385   10 days ago     37.97GB   16.87GB       21.1GB        1
rtbench-instance-vllm-26                 v1                                   e512dd1aa172   10 days ago     41GB      16.88GB       24.13GB       1
rtbench-instance-vllm-25                 v1                                   5aaab10bbd2c   10 days ago     40.94GB   16.88GB       24.05GB       1
rtbench-instance-vllm-22                 v1                                   d21276931445   10 days ago     38.8GB    16.88GB       21.92GB       1
rtbench-instance-vllm-21                 v1                                   388577e80a6c   10 days ago     39.01GB   16.88GB       22.14GB       1
rtbench-instance-vllm-20                 v1                                   84dbd4c028d2   10 days ago     49.62GB   16.89GB       32.73GB       1
rtbench-instance-vllm-19                 v1                                   9aaa4226da65   10 days ago     35.35GB   16.85GB       18.5GB        1
rtbench-instance-vllm-18                 v1                                   ebf0d9a3605c   10 days ago     35.35GB   16.85GB       18.49GB       1
rtbench-instance-vllm-17                 v1                                   e8104159e2a2   10 days ago     35.92GB   16.86GB       19.06GB       1
rtbench-instance-vllm-16                 v1                                   f159cddf50e3   10 days ago     35.9GB    16.86GB       19.04GB       1
rtbench-instance-vllm-15                 v1                                   e396720355cd   10 days ago     37.61GB   16.87GB       20.74GB       1
rtbench-instance-vllm-14                 v1                                   1d01115a18b6   10 days ago     39.66GB   16.88GB       22.78GB       1
rtbench-instance-vllm-13                 v1                                   6182c19630ba   10 days ago     37.83GB   16.88GB       20.95GB       1
rtbench-instance-vllm-11                 v1                                   3849db256f25   10 days ago     38.74GB   16.88GB       21.85GB       1
rtbench-instance-vllm-10                 v1                                   7b13126fbbe8   10 days ago     36.21GB   16.88GB       19.33GB       1
rtbench-instance-vllm-9                  v1                                   aae8d2420ec2   10 days ago     40.55GB   16.88GB       23.67GB       1
rtbench-instance-vllm-7                  v1                                   5415b93ed5be   10 days ago     42.79GB   16.88GB       25.91GB       1
rtbench-instance-vllm-6                  v1                                   f7d966fb3848   10 days ago     39.29GB   16.89GB       22.4GB        1
rtbench-instance-vllm-2                  v1                                   9932973cf84b   10 days ago     43.16GB   16.89GB       26.27GB       1
rtbench-instance-vllm-1                  v1                                   2b41ab039793   10 days ago     40.31GB   16.88GB       23.43GB       1
rtbench-instance-vllm-0                  v1                                   f3258f161edd   10 days ago     38.13GB   16.89GB       21.24GB       2
rtbench-instance-vllm-55                 latest                               5c548099d3ae   5 weeks ago     16.88GB   16.84GB       33.3MB        0
build_env_python                         3.10                                 52bf135fa3bf   5 weeks ago     1.185GB   1.001GB       183.6MB       2
bench-repo                               mujocolab_mjlab                      44b6246e706c   5 weeks ago     14.87GB   1.414GB       13.46GB       0
sweb.eval.x86_64.sympy__sympy-19495      latest                               bfd15c9eeae7   5 weeks ago     3.247GB   2.715GB       532MB         0
<none>                                   <none>                               4d53be8ca28e   5 weeks ago     1.453GB   1.424GB       29.05MB       1
bench-repo                               alexzhang13_rlm                      6cda5dd7cc85   5 weeks ago     1.509GB   1.414GB       94.64MB       0
<none>                                   <none>                               7d9053a69295   5 weeks ago     1.441GB   1.414GB       26.8MB        1
bench-repo                               anthropics_claude-agent-sdk-python   6007c2680708   5 weeks ago     1.578GB   1.414GB       163.6MB       0
bench-repo                               google_langextract                   3fc4cc566cbb   5 weeks ago     1.827GB   1.414GB       412.8MB       0
sweb.eval.x86_64.django__django-15128    latest                               1fe36887a560   6 weeks ago     3.684GB   2.96GB        723.4MB       0
sweb.env.x86_64.cfa8fc94de40fcfc066c8d   latest                               63ed3c8e2d95   6 weeks ago     2.961GB   1.443GB       1.518GB       0
sweb.env.x86_64.3737cf5df4b4a2f1ec5334   latest                               084cec28d412   6 weeks ago     2.96GB    2.96GB        0B            0
sweb.env.x86_64.10876fe2ed03f522640d91   latest                               73ff9cae3106   6 weeks ago     3.02GB    1.443GB       1.577GB       0
ghcr.io/ding113/claude-code-hub          latest                               9f2f12d7bd01   6 weeks ago     541MB     78.61MB       462.4MB       1
sweb.env.x86_64.c642c670dee99294ab8f45   latest                               1e90a12e702c   6 weeks ago     2.729GB   1.443GB       1.287GB       0
sweb.eval.x86_64.django__django-12754    latest                               0d89e6eade8b   6 weeks ago     3.227GB   2.889GB       337.3MB       0
sweb.eval.x86_64.django__django-12965    latest                               542ef97c3206   6 weeks ago     3.227GB   2.889GB       337.3MB       0
sweb.eval.x86_64.django__django-13028    latest                               921d3c08dc64   6 weeks ago     3.227GB   2.889GB       337.3MB       0
sweb.eval.x86_64.django__django-12708    latest                               7f02220826aa   6 weeks ago     3.224GB   2.887GB       337.1MB       1
sweb.eval.x86_64.django__django-12325    latest                               66b54c7ed10a   6 weeks ago     3.224GB   2.887GB       336.7MB       0
sweb.env.x86_64.7037e8c448a4b8ebfe9b13   latest                               df56bdfa9813   6 weeks ago     7.087GB   1.443GB       5.645GB       0
sweb.env.x86_64.efa6065ed5bf204410fd53   latest                               a192d6684bdc   6 weeks ago     6.74GB    1.443GB       5.298GB       0
sweb.env.x86_64.31244378a92e3bcce809ac   latest                               97e6251595a9   6 weeks ago     7.195GB   1.443GB       5.752GB       0
sweb.env.x86_64.aa92880033da20ca313928   latest                               6fe723f140f9   6 weeks ago     4.24GB    1.443GB       2.797GB       0
sweb.env.x86_64.c6d251a05e0af7688b64fd   latest                               2c74ddf4cc52   6 weeks ago     2.729GB   1.443GB       1.286GB       0
sweb.env.x86_64.c795f4b88616b8462021ed   latest                               0fdc936756e9   6 weeks ago     2.715GB   2.715GB       0B            0
sweb.env.x86_64.8f1f7b974f0c57c7aeba39   latest                               eb34e30b9052   6 weeks ago     2.711GB   1.443GB       1.268GB       0
sweb.env.x86_64.cc47cc71483942d0c3a15e   latest                               b8b91d0e062b   6 weeks ago     2.711GB   1.443GB       1.269GB       0
sweb.env.x86_64.1c1a6945f732f9391228c5   latest                               8c9a5533a5a7   6 weeks ago     2.712GB   1.443GB       1.269GB       0
